20240925-19:33:40.088313 Connecting to host 192.168.68.101, port 5201
20240925-19:33:40.088540 Reverse mode, remote host 192.168.68.101 is sending
20240925-19:33:40.088592 [  5] local 192.168.68.111 port 55389 connected to 192.168.68.101 port 5201
20240925-19:33:40.088631 [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
20240925-19:33:44.688231 [  5]   4.60-4.70   sec   144 KBytes  11.8 Mbits/sec  0.692 ms  0/101 (0%)  
20240925-19:33:44.788346 [  5]   4.70-4.80   sec   141 KBytes  11.6 Mbits/sec  0.677 ms  0/99 (0%)  
20240925-19:33:44.888304 [  5]   4.80-4.90   sec   155 KBytes  12.7 Mbits/sec  0.742 ms  0/109 (0%)  
20240925-19:33:44.988410 [  5]   4.90-5.00   sec   135 KBytes  11.1 Mbits/sec  0.706 ms  0/95 (0%)  
20240925-19:33:45.088280 [  5]   5.00-5.10   sec   150 KBytes  12.3 Mbits/sec  0.808 ms  2/107 (1.9%)  
20240925-19:33:45.188421 [  5]   5.10-5.20   sec   133 KBytes  10.8 Mbits/sec  0.794 ms  0/93 (0%)  
20240925-19:33:45.288161 [  5]   5.20-5.30   sec   138 KBytes  11.4 Mbits/sec  0.570 ms  0/97 (0%)  
20240925-19:33:45.388431 [  5]   5.30-5.40   sec   145 KBytes  11.9 Mbits/sec  0.562 ms  0/102 (0%)  
20240925-19:33:45.488326 [  5]   5.40-5.50   sec   145 KBytes  11.9 Mbits/sec  0.765 ms  0/102 (0%)  
20240925-19:33:45.588466 [  5]   5.50-5.60   sec   141 KBytes  11.5 Mbits/sec  0.674 ms  0/99 (0%)  
20240925-19:33:45.688327 [  5]   5.60-5.70   sec   150 KBytes  12.3 Mbits/sec  0.794 ms  0/105 (0%)  
20240925-19:33:45.788197 [  5]   5.70-5.80   sec   140 KBytes  11.4 Mbits/sec  0.550 ms  0/98 (0%)  
20240925-19:33:45.888164 [  5]   5.80-5.90   sec   131 KBytes  10.8 Mbits/sec  0.670 ms  0/92 (0%)  
20240925-19:33:45.988507 [  5]   5.90-6.00   sec   158 KBytes  12.9 Mbits/sec  0.624 ms  0/111 (0%)  
20240925-19:33:46.088256 [  5]   6.00-6.10   sec   143 KBytes  11.7 Mbits/sec  0.800 ms  0/100 (0%)  
20240925-19:33:46.188367 [  5]   6.10-6.20   sec   138 KBytes  11.3 Mbits/sec  0.690 ms  0/97 (0%)  
20240925-19:33:46.288272 [  5]   6.20-6.30   sec   117 KBytes  9.58 Mbits/sec  0.699 ms  0/82 (0%)  
20240925-19:33:46.388156 [  5]   6.30-6.40   sec   170 KBytes  13.9 Mbits/sec  0.821 ms  0/119 (0%)  
20240925-19:33:46.488315 [  5]   6.40-6.50   sec   147 KBytes  12.0 Mbits/sec  0.676 ms  0/103 (0%)  
20240925-19:33:46.588304 [  5]   6.50-6.60   sec   114 KBytes  9.34 Mbits/sec  1.072 ms  0/80 (0%)  
20240925-19:33:46.688466 [  5]   6.60-6.70   sec   147 KBytes  12.0 Mbits/sec  0.594 ms  0/103 (0%)  
20240925-19:33:46.788258 [  5]   6.70-6.80   sec  98.4 KBytes  8.07 Mbits/sec  0.842 ms  0/69 (0%)  
20240925-19:33:46.888185 [  5]   6.80-6.90   sec   202 KBytes  16.6 Mbits/sec  0.808 ms  0/142 (0%)  
20240925-19:33:46.988209 [  5]   6.90-7.00   sec   115 KBytes  9.47 Mbits/sec  1.083 ms  0/81 (0%)  
20240925-19:33:47.088468 [  5]   7.00-7.10   sec   151 KBytes  12.4 Mbits/sec  0.737 ms  0/106 (0%)  
20240925-19:33:47.188320 [  5]   7.10-7.20   sec   123 KBytes  10.1 Mbits/sec  0.630 ms  0/86 (0%)  
