20240925-19:31:07.537103 Connecting to host 192.168.68.101, port 5201
20240925-19:31:07.537274 Reverse mode, remote host 192.168.68.101 is sending
20240925-19:31:07.537317 [  5] local 192.168.68.113 port 40055 connected to 192.168.68.101 port 5201
20240925-19:31:07.537353 [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
20240925-19:31:12.137200 [  5]   4.60-4.70   sec   167 KBytes  13.7 Mbits/sec  0.633 ms  0/117 (0%)  
20240925-19:31:12.237255 [  5]   4.70-4.80   sec   120 KBytes  9.81 Mbits/sec  0.897 ms  0/84 (0%)  
20240925-19:31:12.337264 [  5]   4.80-4.90   sec   167 KBytes  13.7 Mbits/sec  0.620 ms  0/117 (0%)  
20240925-19:31:12.437149 [  5]   4.90-5.00   sec   113 KBytes  9.23 Mbits/sec  0.933 ms  0/79 (0%)  
20240925-19:31:12.537070 [  5]   5.00-5.10   sec   163 KBytes  13.3 Mbits/sec  0.614 ms  0/114 (0%)  
20240925-19:31:12.637138 [  5]   5.10-5.20   sec  94.1 KBytes  7.71 Mbits/sec  1.054 ms  0/66 (0%)  
20240925-19:31:12.737433 [  5]   5.20-5.30   sec   178 KBytes  14.6 Mbits/sec  0.696 ms  0/125 (0%)  
20240925-19:31:12.837167 [  5]   5.30-5.40   sec   128 KBytes  10.5 Mbits/sec  0.747 ms  0/90 (0%)  
20240925-19:31:12.937188 [  5]   5.40-5.50   sec   177 KBytes  14.5 Mbits/sec  0.851 ms  0/124 (0%)  
20240925-19:31:13.037024 [  5]   5.50-5.60   sec   121 KBytes  9.94 Mbits/sec  0.619 ms  0/85 (0%)  
20240925-19:31:13.137055 [  5]   5.60-5.70   sec   164 KBytes  13.4 Mbits/sec  0.778 ms  0/115 (0%)  
20240925-19:31:13.237164 [  5]   5.70-5.80   sec   114 KBytes  9.34 Mbits/sec  0.761 ms  0/80 (0%)  
20240925-19:31:13.337249 [  5]   5.80-5.90   sec   171 KBytes  14.0 Mbits/sec  0.781 ms  0/120 (0%)  
20240925-19:31:13.437191 [  5]   5.90-6.00   sec   123 KBytes  10.1 Mbits/sec  0.642 ms  0/86 (0%)  
20240925-19:31:13.537084 [  5]   6.00-6.10   sec   165 KBytes  13.6 Mbits/sec  0.477 ms  0/116 (0%)  
20240925-19:31:13.637041 [  5]   6.10-6.20   sec   121 KBytes  9.93 Mbits/sec  0.749 ms  0/85 (0%)  
20240925-19:31:13.737123 [  5]   6.20-6.30   sec   154 KBytes  12.6 Mbits/sec  0.855 ms  0/108 (0%)  
20240925-19:31:13.837266 [  5]   6.30-6.40   sec   133 KBytes  10.9 Mbits/sec  0.535 ms  0/93 (0%)  
20240925-19:31:13.937176 [  5]   6.40-6.50   sec   163 KBytes  13.3 Mbits/sec  0.819 ms  0/114 (0%)  
20240925-19:31:14.037109 [  5]   6.50-6.60   sec   131 KBytes  10.7 Mbits/sec  0.782 ms  0/92 (0%)  
20240925-19:31:14.137089 [  5]   6.60-6.70   sec   128 KBytes  10.5 Mbits/sec  0.745 ms  0/90 (0%)  
20240925-19:31:14.237203 [  5]   6.70-6.80   sec   173 KBytes  14.1 Mbits/sec  0.761 ms  0/121 (0%)  
20240925-19:31:14.337300 [  5]   6.80-6.90   sec   131 KBytes  10.7 Mbits/sec  0.756 ms  0/92 (0%)  
20240925-19:31:14.437216 [  5]   6.90-7.00   sec   153 KBytes  12.5 Mbits/sec  0.685 ms  0/107 (0%)  
20240925-19:31:14.537139 [  5]   7.00-7.10   sec   124 KBytes  10.2 Mbits/sec  0.828 ms  0/87 (0%)  
20240925-19:31:14.637047 [  5]   7.10-7.20   sec   163 KBytes  13.3 Mbits/sec  0.772 ms  0/114 (0%)  
20240925-19:31:14.737107 [  5]   7.20-7.30   sec   127 KBytes  10.4 Mbits/sec  0.847 ms  0/89 (0%)  
20240925-19:31:14.837255 [  5]   7.30-7.40   sec   157 KBytes  12.8 Mbits/sec  0.644 ms  0/110 (0%)  
20240925-19:31:14.937219 [  5]   7.40-7.50   sec   120 KBytes  9.81 Mbits/sec  0.727 ms  0/84 (0%)  
20240925-19:31:15.037243 [  5]   7.50-7.60   sec   164 KBytes  13.4 Mbits/sec  0.794 ms  0/115 (0%)  
20240925-19:31:15.137086 [  5]   7.60-7.70   sec   117 KBytes  9.58 Mbits/sec  0.782 ms  0/82 (0%)  
20240925-19:31:15.237096 [  5]   7.70-7.80   sec   167 KBytes  13.7 Mbits/sec  0.512 ms  0/117 (0%)  
20240925-19:31:15.337176 [  5]   7.80-7.90   sec   120 KBytes  9.81 Mbits/sec  0.687 ms  0/84 (0%)  
20240925-19:31:15.437356 [  5]   7.90-8.00   sec   158 KBytes  12.9 Mbits/sec  0.722 ms  0/111 (0%)  
20240925-19:31:15.537273 [  5]   8.00-8.10   sec  84.1 KBytes  6.90 Mbits/sec  0.880 ms  0/59 (0%)  
20240925-19:31:15.637131 [  5]   8.10-8.20   sec   185 KBytes  15.2 Mbits/sec  0.805 ms  0/130 (0%)  
20240925-19:31:15.737042 [  5]   8.20-8.30   sec  68.4 KBytes  5.61 Mbits/sec  0.901 ms  0/48 (0%)  
