20240925-19:06:53.690507 Connecting to host 192.168.68.101, port 5201
20240925-19:06:53.690656 Reverse mode, remote host 192.168.68.101 is sending
20240925-19:06:53.690688 [  5] local 192.168.68.111 port 44110 connected to 192.168.68.101 port 5201
20240925-19:06:53.690716 [ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
20240925-19:06:58.290705 [  5]   4.60-4.70   sec  18.5 KBytes  1.52 Mbits/sec  1.007 ms  0/13 (0%)  
20240925-19:06:58.390459 [  5]   4.70-4.80   sec   240 KBytes  19.6 Mbits/sec  0.720 ms  0/168 (0%)  
20240925-19:06:58.490494 [  5]   4.80-4.90   sec   167 KBytes  13.7 Mbits/sec  0.649 ms  0/117 (0%)  
20240925-19:06:58.590537 [  5]   4.90-5.00   sec   127 KBytes  10.4 Mbits/sec  0.689 ms  0/89 (0%)  
20240925-19:06:58.690627 [  5]   5.00-5.10   sec   158 KBytes  13.0 Mbits/sec  0.725 ms  0/111 (0%)  
20240925-19:06:58.790563 [  5]   5.10-5.20   sec   125 KBytes  10.3 Mbits/sec  0.577 ms  0/88 (0%)  
20240925-19:06:58.890470 [  5]   5.20-5.30   sec   160 KBytes  13.1 Mbits/sec  0.663 ms  0/112 (0%)  
20240925-19:06:58.990470 [  5]   5.30-5.40   sec   141 KBytes  11.6 Mbits/sec  0.634 ms  0/99 (0%)  
20240925-19:06:59.090446 [  5]   5.40-5.50   sec   138 KBytes  11.3 Mbits/sec  0.903 ms  0/97 (0%)  
20240925-19:06:59.190720 [  5]   5.50-5.60   sec   145 KBytes  11.9 Mbits/sec  0.668 ms  0/102 (0%)  
20240925-19:06:59.290576 [  5]   5.60-5.70   sec   143 KBytes  11.7 Mbits/sec  0.742 ms  0/100 (0%)  
20240925-19:06:59.390563 [  5]   5.70-5.80   sec   140 KBytes  11.4 Mbits/sec  0.761 ms  0/98 (0%)  
20240925-19:06:59.490496 [  5]   5.80-5.90   sec   150 KBytes  12.3 Mbits/sec  0.577 ms  0/105 (0%)  
20240925-19:06:59.590484 [  5]   5.90-6.00   sec   123 KBytes  10.0 Mbits/sec  0.940 ms  0/86 (0%)  
20240925-19:06:59.690588 [  5]   6.00-6.10   sec   138 KBytes  11.3 Mbits/sec  0.595 ms  0/97 (0%)  
20240925-19:06:59.790586 [  5]   6.10-6.20   sec   165 KBytes  13.6 Mbits/sec  0.508 ms  0/116 (0%)  
20240925-19:06:59.890599 [  5]   6.20-6.30   sec   133 KBytes  10.9 Mbits/sec  0.503 ms  0/93 (0%)  
20240925-19:06:59.990486 [  5]   6.30-6.40   sec   147 KBytes  12.0 Mbits/sec  0.683 ms  0/103 (0%)  
20240925-19:07:00.090491 [  5]   6.40-6.50   sec   143 KBytes  11.7 Mbits/sec  0.642 ms  0/100 (0%)  
20240925-19:07:00.190563 [  5]   6.50-6.60   sec   131 KBytes  10.7 Mbits/sec  0.807 ms  0/92 (0%)  
20240925-19:07:00.290561 [  5]   6.60-6.70   sec   163 KBytes  13.3 Mbits/sec  0.755 ms  0/114 (0%)  
20240925-19:07:00.390569 [  5]   6.70-6.80   sec   123 KBytes  10.0 Mbits/sec  0.746 ms  0/86 (0%)  
20240925-19:07:00.490551 [  5]   6.80-6.90   sec   155 KBytes  12.7 Mbits/sec  0.724 ms  0/109 (0%)  
20240925-19:07:00.590431 [  5]   6.90-7.00   sec   123 KBytes  10.1 Mbits/sec  0.882 ms  0/86 (0%)  
20240925-19:07:00.690621 [  5]   7.00-7.10   sec   158 KBytes  13.0 Mbits/sec  0.661 ms  0/111 (0%)  
20240925-19:07:00.790498 [  5]   7.10-7.20   sec   135 KBytes  11.1 Mbits/sec  1.066 ms  0/95 (0%)  
20240925-19:07:00.890618 [  5]   7.20-7.30   sec   140 KBytes  11.4 Mbits/sec  0.756 ms  0/98 (0%)  
20240925-19:07:00.990514 [  5]   7.30-7.40   sec   143 KBytes  11.7 Mbits/sec  0.789 ms  0/100 (0%)  
20240925-19:07:01.090500 [  5]   7.40-7.50   sec   157 KBytes  12.8 Mbits/sec  0.718 ms  0/110 (0%)  
20240925-19:07:01.190542 [  5]   7.50-7.60   sec   134 KBytes  11.0 Mbits/sec  0.570 ms  0/94 (0%)  
20240925-19:07:01.290560 [  5]   7.60-7.70   sec   137 KBytes  11.2 Mbits/sec  0.647 ms  0/96 (0%)  
20240925-19:07:01.390555 [  5]   7.70-7.80   sec   157 KBytes  12.8 Mbits/sec  0.723 ms  0/110 (0%)  
20240925-19:07:01.490540 [  5]   7.80-7.90   sec   118 KBytes  9.70 Mbits/sec  0.858 ms  0/83 (0%)  
20240925-19:07:01.590630 [  5]   7.90-8.00   sec   164 KBytes  13.4 Mbits/sec  0.744 ms  0/115 (0%)  
20240925-19:07:01.690415 [  5]   8.00-8.10   sec   134 KBytes  11.0 Mbits/sec  0.711 ms  0/94 (0%)  
20240925-19:07:01.790590 [  5]   8.10-8.20   sec   153 KBytes  12.5 Mbits/sec  0.654 ms  0/107 (0%)  
20240925-19:07:01.890640 [  5]   8.20-8.30   sec   118 KBytes  9.70 Mbits/sec  0.596 ms  0/83 (0%)  
20240925-19:07:01.990575 [  5]   8.30-8.40   sec   173 KBytes  14.1 Mbits/sec  0.744 ms  0/121 (0%)  
20240925-19:07:02.090448 [  5]   8.40-8.50   sec   124 KBytes  10.2 Mbits/sec  0.764 ms  0/87 (0%)  
20240925-19:07:02.190474 [  5]   8.50-8.60   sec   161 KBytes  13.2 Mbits/sec  0.612 ms  0/113 (0%)  
20240925-19:07:02.290511 [  5]   8.60-8.70   sec   131 KBytes  10.7 Mbits/sec  0.457 ms  0/92 (0%)  
20240925-19:07:02.390555 [  5]   8.70-8.80   sec   148 KBytes  12.1 Mbits/sec  0.896 ms  0/104 (0%)  
20240925-19:07:02.490585 [  5]   8.80-8.90   sec   150 KBytes  12.3 Mbits/sec  0.571 ms  0/105 (0%)  
20240925-19:07:02.590538 [  5]   8.90-9.00   sec   138 KBytes  11.3 Mbits/sec  0.564 ms  0/97 (0%)  
20240925-19:07:02.690486 [  5]   9.00-9.10   sec   140 KBytes  11.4 Mbits/sec  0.683 ms  0/98 (0%)  
20240925-19:07:02.790578 [  5]   9.10-9.20   sec   140 KBytes  11.4 Mbits/sec  0.823 ms  0/98 (0%)  
